STRATUM;ISCEDO;MISCED;FISCED;DURECEC;REPEAT;ESCS;UNDREM;METASUM;HOMEPOS;CULTPOSS;HEDRES;WEALTH;ICTRES;DIRINS;PERFEED;EMOSUPS;TEACHINT;JOYREAD;ATTLNACT;COMPETE;WORKMAST;GFOFAIL;EUDMO;SWBP;RESILIENCE;GCSELFEFF;DISCRIM;BELONG;BEINGBULLIED;CURSUPP;EMOSUPP;JOYREADP;PV1MATH;PV1SCIE
PRT0007;1;99;99;99;9; ; ; ;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;-,2497;,739;-,7296;453,818;490,738
PRT0007;1;99;99;99;9; ; ; ;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;-,0659;-,115;-1,3261;313,388;310,913
PRT0007;1;6;6;2;1;-,0355;-1,64;-1,72;,6834;,444;1,1793;,684;,069;,0345;,9044;-2,4468;,6797;-,6499;,443;,1956;,5693;,052;1,7411;,4094;-,4909;-,8622;-,6615;-,6824;,2907;-,7709;,0721;-,2938;316,431;221,419
PRT0007;1;2;2;99;1;-1,4516;-1,64;-1,72;-1,3172;-1,7773;-1,0118;-,7533;-,5503;,1339;,5121;1,0346;-1,0615;-1,9715;-1,4229;,1956;-,1015;,4637;,2621;,0769;-,0614;,1904;1,7356;-,6659;-,7823;,3428;,0721;,8279;341,938;418,839
PRT0007;1;0;0;7;1;-2,7528;-,6;-1,72;-1,2467;,444;-1,6291;-1,3977;-1,4436;1,8202;2,0165;-1,3914;-,2934;,1499;1,0844;1,2643;-1,7067;,4637;-,1652;-,5928;-1,333;-1,0682;-,1731;-1,0499;2,0604;-1,1583;-2,0468;,7098;393,029;444,913
PRT0007;1;99;1;3;1;-2,9658;,1;-1,72;-2,0319;-1,084;-1,3835;-1,6124;-1,7779;,1339;-1,6391;-,6576;-,6079;-,7077;1,0844;-2,345;-1,3692;,2734;1,348;1,2386;1,5527;1,3959;-1,1549;2,7249;-,7823;99;99;99;432,573;359,15
PRT0007;1;99;99;99;9; ; ; ;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;-,2139;-1,7606;-,8693;350,339;419,273
PRT0007;1;2;5;99;1;-2,2048;-,25;-1,72;-2,1298;-,3023;-1,6618;-2,1708;-1,9827;1,1049;-,6555;99;-1,7928;-,6146;-,6583;,1956;99;,4637;,2621;-,5928;-,0614;,1904;99;-,5964;99;-,2528;-1,7606;,5325;364,411;355,3
PRT0007;1;5;5;99;1;-2,0728;-,94;-,57;-,3425;,2263;-,6853;-,3541;-,0913;,3737;,2012;99;,6797;-,1042;-,6583;-,4112;-,1015;,052;-,1652;-,5928;-,8109;-2,7142;99;-,5665;99;4,7142;,0721;,7098;386,617;362,378
PRT0007;1;2;1;99;1;-2,7422;-1,64;-1,72;-2,9862;-1,7773;-2,8259;-2,1231;-2,5634;-,4616;-,3253;1,0346;-,8262;-2,7114;-,6583;-1,0457;-2,7365;,8207;1,7411;-1,6203;-,4684;-,9477;99;-2,034;99;-,7622;-,4858;-2,8572;305,705;373,888
